dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata
b01,Bengali,10,five,reach,5,5,1,1,no
b01,Bengali,10,five,point,0,0,0,0,no
b01,Bengali,10,five,ho_gv,0,0,0,0,no
b01,Bengali,10,tp1,reach,0,0,0,0,no
b01,Bengali,10,tp1,point,0,0,0,0,no
b01,Bengali,10,tp1,ho_gv,0,0,0,0,no
b01,Bengali,10,tp2,reach,0,0,0,0,no
b01,Bengali,10,tp2,point,0,0,0,0,no
b01,Bengali,10,tp2,ho_gv,0,0,0,0,no
b01,Bengali,11,five,reach,7,8,3,3,yes
b01,Bengali,11,five,point,1,1,0,0,yes
b01,Bengali,11,five,ho_gv,0,0,0,0,yes
b01,Bengali,11,tp1,reach,0,0,0,0,no
b01,Bengali,11,tp1,point,0,0,0,0,no
b01,Bengali,11,tp1,ho_gv,0,0,0,0,no
b01,Bengali,11,tp2,reach,0,0,0,0,no
b01,Bengali,11,tp2,point,0,0,0,0,no
b01,Bengali,11,tp2,ho_gv,0,0,0,0,no
b01,Bengali,12,five,reach,0,0,0,0,no
b01,Bengali,12,five,point,0,0,0,0,no
b01,Bengali,12,five,ho_gv,0,0,0,0,no
b01,Bengali,12,tp1,reach,0,0,0,0,no
b01,Bengali,12,tp1,point,0,0,0,0,no
b01,Bengali,12,tp1,ho_gv,1,1,0,0,no
b01,Bengali,12,tp2,reach,0,0,0,0,no
b01,Bengali,12,tp2,point,0,0,0,0,no
b01,Bengali,12,tp2,ho_gv,2,2,0,0,no
b02,Bengali,10,five,reach,2,2,0,0,no
b02,Bengali,10,five,point,1,1,0,0,no
b02,Bengali,10,five,ho_gv,0,0,0,0,no
b02,Bengali,10,tp1,reach,0,0,0,0,no
b02,Bengali,10,tp1,point,0,0,0,0,no
b02,Bengali,10,tp1,ho_gv,0,0,0,0,no
b02,Bengali,10,tp2,reach,0,0,0,0,no
b02,Bengali,10,tp2,point,0,0,0,0,no
b02,Bengali,10,tp2,ho_gv,1,1,0,0,no
b02,Bengali,11,five,reach,2,2,1,1,no
b02,Bengali,11,five,point,2,2,0,0,no
b02,Bengali,11,five,ho_gv,0,0,0,0,no
b02,Bengali,11,tp1,reach,0,0,0,0,no
b02,Bengali,11,tp1,point,0,0,0,0,no
b02,Bengali,11,tp1,ho_gv,4,4,0,0,no
b02,Bengali,11,tp2,reach,0,0,0,0,no
b02,Bengali,11,tp2,point,0,0,0,0,no
b02,Bengali,11,tp2,ho_gv,10,10,0,0,no
b02,Bengali,12,five,reach,3,3,0,0,no
b02,Bengali,12,five,point,0,0,0,0,no
b02,Bengali,12,five,ho_gv,0,0,0,0,no
b02,Bengali,12,tp1,reach,0,0,0,0,no
b02,Bengali,12,tp1,point,0,0,0,0,no
b02,Bengali,12,tp1,ho_gv,6,6,0,0,no
b02,Bengali,12,tp2,reach,0,0,0,0,no
b02,Bengali,12,tp2,point,0,0,0,0,no
b02,Bengali,12,tp2,ho_gv,5,5,0,0,no
b03,Bengali,10,five,reach,4,4,0,0,no
b03,Bengali,10,five,point,0,0,0,0,no
b03,Bengali,10,five,ho_gv,0,0,0,0,no
b03,Bengali,10,tp1,reach,0,0,0,0,no
b03,Bengali,10,tp1,point,0,0,0,0,no
b03,Bengali,10,tp1,ho_gv,8,8,0,0,no
b03,Bengali,10,tp2,reach,0,0,0,0,no
b03,Bengali,10,tp2,point,0,0,0,0,no
b03,Bengali,10,tp2,ho_gv,0,0,0,0,no
b03,Bengali,11,five,reach,6,6,0,0,no
b03,Bengali,11,five,point,1,1,0,0,no
b03,Bengali,11,five,ho_gv,0,0,0,0,no
b03,Bengali,11,tp1,reach,0,0,0,0,no
b03,Bengali,11,tp1,point,0,0,0,0,no
b03,Bengali,11,tp1,ho_gv,5,5,0,0,no
b03,Bengali,11,tp2,reach,0,0,0,0,no
b03,Bengali,11,tp2,point,0,0,0,0,no
b03,Bengali,11,tp2,ho_gv,3,3,0,0,no
b03,Bengali,12,five,reach,4,6,0,0,yes
b03,Bengali,12,five,point,0,0,0,0,yes
b03,Bengali,12,five,ho_gv,0,0,0,0,yes
b03,Bengali,12,tp1,reach,0,0,0,0,no
b03,Bengali,12,tp1,point,0,0,0,0,no
b03,Bengali,12,tp1,ho_gv,4,4,0,0,no
b03,Bengali,12,tp2,reach,0,0,0,0,no
b03,Bengali,12,tp2,point,0,0,0,0,no
b03,Bengali,12,tp2,ho_gv,6,6,0,0,no
b04,Bengali,10,five,reach,0,0,0,0,no
b04,Bengali,10,five,point,0,0,0,0,no
b04,Bengali,10,five,ho_gv,0,0,0,0,no
b04,Bengali,10,tp1,reach,0,0,0,0,no
b04,Bengali,10,tp1,point,0,0,0,0,no
b04,Bengali,10,tp1,ho_gv,3,3,1,1,no
b04,Bengali,10,tp2,reach,0,0,0,0,no
b04,Bengali,10,tp2,point,0,0,0,0,no
b04,Bengali,10,tp2,ho_gv,4,4,0,0,no
b04,Bengali,11,five,reach,9,9,3,3,no
b04,Bengali,11,five,point,0,0,0,0,no
b04,Bengali,11,five,ho_gv,0,0,0,0,no
b04,Bengali,11,tp1,reach,0,0,0,0,no
b04,Bengali,11,tp1,point,0,0,0,0,no
b04,Bengali,11,tp1,ho_gv,9,9,2,2,no
b04,Bengali,11,tp2,reach,0,0,0,0,yes
b04,Bengali,11,tp2,point,0,0,0,0,yes
b04,Bengali,11,tp2,ho_gv,3,3,3,3,yes
b04,Bengali,12,five,reach,5,5,1,1,no
b04,Bengali,12,five,point,3,3,2,2,no
b04,Bengali,12,five,ho_gv,0,0,0,0,no
b04,Bengali,12,tp1,reach,0,0,0,0,no
b04,Bengali,12,tp1,point,1,1,1,1,no
b04,Bengali,12,tp1,ho_gv,9,9,3,3,no
b04,Bengali,12,tp2,reach,0,0,0,0,no
b04,Bengali,12,tp2,point,1,1,0,0,no
b04,Bengali,12,tp2,ho_gv,3,3,0,0,no
b05,Bengali,10,five,reach,4,4,0,0,no
b05,Bengali,10,five,point,0,0,0,0,no
b05,Bengali,10,five,ho_gv,0,0,0,0,no
b05,Bengali,10,tp1,reach,0,0,0,0,no
b05,Bengali,10,tp1,point,0,0,0,0,no
b05,Bengali,10,tp1,ho_gv,0,0,0,0,no
b05,Bengali,10,tp2,reach,0,0,0,0,no
b05,Bengali,10,tp2,point,0,0,0,0,no
b05,Bengali,10,tp2,ho_gv,0,0,0,0,no
b05,Bengali,11,five,reach,3,3,0,0,no
b05,Bengali,11,five,point,3,3,0,0,no
b05,Bengali,11,five,ho_gv,0,0,0,0,no
b05,Bengali,11,tp1,reach,0,0,0,0,no
b05,Bengali,11,tp1,point,0,0,0,0,no
b05,Bengali,11,tp1,ho_gv,1,1,0,0,no
b05,Bengali,11,tp2,reach,0,0,0,0,no
b05,Bengali,11,tp2,point,0,0,0,0,no
b05,Bengali,11,tp2,ho_gv,6,6,3,3,no
b05,Bengali,12,five,reach,1,1,0,0,no
b05,Bengali,12,five,point,5,5,3,3,no
b05,Bengali,12,five,ho_gv,0,0,0,0,no
b05,Bengali,12,tp1,reach,1,1,0,0,no
b05,Bengali,12,tp1,point,0,0,0,0,no
b05,Bengali,12,tp1,ho_gv,1,1,0,0,no
b05,Bengali,12,tp2,reach,0,0,0,0,no
b05,Bengali,12,tp2,point,0,0,0,0,no
b05,Bengali,12,tp2,ho_gv,8,8,1,1,no
b06,Bengali,10,five,reach,1,1,0,0,no
b06,Bengali,10,five,point,0,0,0,0,no
b06,Bengali,10,five,ho_gv,0,0,0,0,no
b06,Bengali,10,tp1,reach,0,0,0,0,no
b06,Bengali,10,tp1,point,0,0,0,0,no
b06,Bengali,10,tp1,ho_gv,4,4,1,1,no
b06,Bengali,10,tp2,reach,0,0,0,0,no
b06,Bengali,10,tp2,point,0,0,0,0,no
b06,Bengali,10,tp2,ho_gv,3,3,1,1,no
b06,Bengali,11,five,reach,2,2,0,0,no
b06,Bengali,11,five,point,0,0,0,0,no
b06,Bengali,11,five,ho_gv,0,0,0,0,no
b06,Bengali,11,tp1,reach,0,0,0,0,no
b06,Bengali,11,tp1,point,0,0,0,0,no
b06,Bengali,11,tp1,ho_gv,4,4,1,1,no
b06,Bengali,11,tp2,reach,0,0,0,0,no
b06,Bengali,11,tp2,point,0,0,0,0,no
b06,Bengali,11,tp2,ho_gv,0,0,0,0,no
b06,Bengali,12,five,reach,0,0,0,0,no
b06,Bengali,12,five,point,0,0,0,0,no
b06,Bengali,12,five,ho_gv,0,0,0,0,no
b06,Bengali,12,tp1,reach,0,0,0,0,no
b06,Bengali,12,tp1,point,0,0,0,0,no
b06,Bengali,12,tp1,ho_gv,10,10,0,0,no
b06,Bengali,12,tp2,reach,0,0,0,0,no
b06,Bengali,12,tp2,point,0,0,0,0,no
b06,Bengali,12,tp2,ho_gv,0,0,0,0,no
b07,Bengali,10,five,reach,2,2,1,1,no
b07,Bengali,10,five,point,0,0,0,0,no
b07,Bengali,10,five,ho_gv,0,0,0,0,no
b07,Bengali,10,tp1,reach,0,0,0,0,no
b07,Bengali,10,tp1,point,0,0,0,0,no
b07,Bengali,10,tp1,ho_gv,0,0,0,0,no
b07,Bengali,10,tp2,reach,0,0,0,0,no
b07,Bengali,10,tp2,point,0,0,0,0,no
b07,Bengali,10,tp2,ho_gv,0,0,0,0,no
b07,Bengali,11,five,reach,3,3,1,1,no
b07,Bengali,11,five,point,2,2,0,0,no
b07,Bengali,11,five,ho_gv,0,0,0,0,no
b07,Bengali,11,tp1,reach,0,0,0,0,no
b07,Bengali,11,tp1,point,0,0,0,0,no
b07,Bengali,11,tp1,ho_gv,1,1,0,0,no
b07,Bengali,11,tp2,reach,0,0,0,0,no
b07,Bengali,11,tp2,point,0,0,0,0,no
b07,Bengali,11,tp2,ho_gv,0,0,0,0,no
b07,Bengali,12,five,reach,2,2,0,0,no
b07,Bengali,12,five,point,5,5,3,3,no
b07,Bengali,12,five,ho_gv,0,0,0,0,no
b07,Bengali,12,tp1,reach,0,0,0,0,no
b07,Bengali,12,tp1,point,0,0,0,0,no
b07,Bengali,12,tp1,ho_gv,0,0,0,0,no
b07,Bengali,12,tp2,reach,0,0,0,0,no
b07,Bengali,12,tp2,point,0,0,0,0,no
b07,Bengali,12,tp2,ho_gv,1,1,0,0,no
b08,Bengali,10,five,reach,3,4,0,0,yes
b08,Bengali,10,five,point,0,0,0,0,yes
b08,Bengali,10,five,ho_gv,0,0,0,0,yes
b08,Bengali,10,tp1,reach,0,0,0,0,no
b08,Bengali,10,tp1,point,0,0,0,0,no
b08,Bengali,10,tp1,ho_gv,0,0,0,0,no
b08,Bengali,10,tp2,reach,0,0,0,0,no
b08,Bengali,10,tp2,point,0,0,0,0,no
b08,Bengali,10,tp2,ho_gv,3,3,0,0,no
b08,Bengali,11,five,reach,6,6,1,1,no
b08,Bengali,11,five,point,0,0,0,0,no
b08,Bengali,11,five,ho_gv,0,0,0,0,no
b08,Bengali,11,tp1,reach,0,0,0,0,no
b08,Bengali,11,tp1,point,0,0,0,0,no
b08,Bengali,11,tp1,ho_gv,8,8,5,5,no
b08,Bengali,11,tp2,reach,0,0,0,0,no
b08,Bengali,11,tp2,point,0,0,0,0,no
b08,Bengali,11,tp2,ho_gv,5,5,2,2,no
b08,Bengali,12,five,reach,10,10,1,1,no
b08,Bengali,12,five,point,0,0,0,0,no
b08,Bengali,12,five,ho_gv,0,0,0,0,no
b08,Bengali,12,tp1,reach,0,0,0,0,no
b08,Bengali,12,tp1,point,0,0,0,0,no
b08,Bengali,12,tp1,ho_gv,1,1,0,0,no
b08,Bengali,12,tp2,reach,0,0,0,0,no
b08,Bengali,12,tp2,point,0,0,0,0,no
b08,Bengali,12,tp2,ho_gv,0,0,0,0,no
b09,Bengali,10,five,reach,5,5,0,0,no
b09,Bengali,10,five,point,0,0,0,0,no
b09,Bengali,10,five,ho_gv,0,0,0,0,no
b09,Bengali,10,tp1,reach,0,0,0,0,no
b09,Bengali,10,tp1,point,0,0,0,0,no
b09,Bengali,10,tp1,ho_gv,3,3,2,2,no
b09,Bengali,10,tp2,reach,0,0,0,0,no
b09,Bengali,10,tp2,point,0,0,0,0,no
b09,Bengali,10,tp2,ho_gv,0,0,0,0,no
b09,Bengali,11,five,reach,2,2,0,0,no
b09,Bengali,11,five,point,2,2,0,0,no
b09,Bengali,11,five,ho_gv,0,0,0,0,no
b09,Bengali,11,tp1,reach,0,0,0,0,no
b09,Bengali,11,tp1,point,0,0,0,0,no
b09,Bengali,11,tp1,ho_gv,2,2,0,0,no
b09,Bengali,11,tp2,reach,0,0,0,0,no
b09,Bengali,11,tp2,point,0,0,0,0,no
b09,Bengali,11,tp2,ho_gv,0,0,0,0,no
b09,Bengali,12,five,reach,3,3,0,0,no
b09,Bengali,12,five,point,4,4,0,0,no
b09,Bengali,12,five,ho_gv,0,0,0,0,no
b09,Bengali,12,tp1,reach,0,0,0,0,no
b09,Bengali,12,tp1,point,0,0,0,0,no
b09,Bengali,12,tp1,ho_gv,3,3,0,0,no
b09,Bengali,12,tp2,reach,0,0,0,0,no
b09,Bengali,12,tp2,point,0,0,0,0,no
b09,Bengali,12,tp2,ho_gv,2,2,0,0,no
b10,Bengali,10,five,reach,2,2,0,0,no
b10,Bengali,10,five,point,0,0,0,0,no
b10,Bengali,10,five,ho_gv,0,0,0,0,no
b10,Bengali,10,tp1,reach,0,0,0,0,no
b10,Bengali,10,tp1,point,0,0,0,0,no
b10,Bengali,10,tp1,ho_gv,0,0,0,0,no
b10,Bengali,10,tp2,reach,0,0,0,0,no
b10,Bengali,10,tp2,point,0,0,0,0,no
b10,Bengali,10,tp2,ho_gv,0,0,0,0,no
b10,Bengali,11,five,reach,0,0,0,0,no
b10,Bengali,11,five,point,0,0,0,0,no
b10,Bengali,11,five,ho_gv,0,0,0,0,no
b10,Bengali,11,tp1,reach,0,0,0,0,no
b10,Bengali,11,tp1,point,0,0,0,0,no
b10,Bengali,11,tp1,ho_gv,1,1,0,0,no
b10,Bengali,11,tp2,reach,0,0,0,0,no
b10,Bengali,11,tp2,point,0,0,0,0,no
b10,Bengali,11,tp2,ho_gv,0,0,0,0,no
b10,Bengali,12,five,reach,2,2,0,0,no
b10,Bengali,12,five,point,0,0,0,0,no
b10,Bengali,12,five,ho_gv,0,0,0,0,no
b10,Bengali,12,tp1,reach,0,0,0,0,no
b10,Bengali,12,tp1,point,0,0,0,0,no
b10,Bengali,12,tp1,ho_gv,3,3,0,0,no
b10,Bengali,12,tp2,reach,0,0,0,0,no
b10,Bengali,12,tp2,point,0,0,0,0,no
b10,Bengali,12,tp2,ho_gv,5,5,0,0,no
b11,Bengali,10,five,reach,6,6,2,2,no
b11,Bengali,10,five,point,0,0,0,0,no
b11,Bengali,10,five,ho_gv,0,0,0,0,no
b11,Bengali,10,tp1,reach,2,2,0,0,no
b11,Bengali,10,tp1,point,0,0,0,0,no
b11,Bengali,10,tp1,ho_gv,0,0,0,0,no
b11,Bengali,10,tp2,reach,0,0,0,0,no
b11,Bengali,10,tp2,point,0,0,0,0,no
b11,Bengali,10,tp2,ho_gv,0,0,0,0,no
b11,Bengali,11,five,reach,2,2,0,0,no
b11,Bengali,11,five,point,9,9,3,3,no
b11,Bengali,11,five,ho_gv,0,0,0,0,no
b11,Bengali,11,tp1,reach,0,0,0,0,no
b11,Bengali,11,tp1,point,0,0,0,0,no
b11,Bengali,11,tp1,ho_gv,4,4,0,0,no
b11,Bengali,11,tp2,reach,0,0,0,0,no
b11,Bengali,11,tp2,point,0,0,0,0,no
b11,Bengali,11,tp2,ho_gv,4,4,0,0,no
b11,Bengali,12,five,reach,11,11,1,1,no
b11,Bengali,12,five,point,2,2,1,1,no
b11,Bengali,12,five,ho_gv,0,0,0,0,no
b11,Bengali,12,tp1,reach,0,0,0,0,no
b11,Bengali,12,tp1,point,0,0,0,0,no
b11,Bengali,12,tp1,ho_gv,9,9,1,1,no
b11,Bengali,12,tp2,reach,0,0,0,0,no
b11,Bengali,12,tp2,point,0,0,0,0,no
b11,Bengali,12,tp2,ho_gv,15,15,2,2,no
b12,Bengali,10,five,reach,2,2,0,0,no
b12,Bengali,10,five,point,0,0,0,0,no
b12,Bengali,10,five,ho_gv,0,0,0,0,no
b12,Bengali,10,tp1,reach,0,0,0,0,no
b12,Bengali,10,tp1,point,0,0,0,0,no
b12,Bengali,10,tp1,ho_gv,0,0,0,0,no
b12,Bengali,10,tp2,reach,0,0,0,0,no
b12,Bengali,10,tp2,point,0,0,0,0,no
b12,Bengali,10,tp2,ho_gv,0,0,0,0,no
b12,Bengali,11,five,reach,4,4,1,1,no
b12,Bengali,11,five,point,12,12,2,2,no
b12,Bengali,11,five,ho_gv,0,0,0,0,no
b12,Bengali,11,tp1,reach,0,0,0,0,no
b12,Bengali,11,tp1,point,6,6,1,1,no
b12,Bengali,11,tp1,ho_gv,16,16,0,0,no
b12,Bengali,11,tp2,reach,0,0,0,0,no
b12,Bengali,11,tp2,point,0,0,0,0,no
b12,Bengali,11,tp2,ho_gv,17,17,1,1,no
b12,Bengali,12,five,reach,2,2,,,no
b12,Bengali,12,five,point,8,8,,,no
b12,Bengali,12,five,ho_gv,0,0,,,no
b12,Bengali,12,tp1,reach,1,1,0,0,no
b12,Bengali,12,tp1,point,3,3,0,0,no
b12,Bengali,12,tp1,ho_gv,6,6,0,0,no
b12,Bengali,12,tp2,reach,0,0,0,0,yes
b12,Bengali,12,tp2,point,0,0,0,0,yes
b12,Bengali,12,tp2,ho_gv,3,4,0,0,yes
b13,Bengali,10,five,reach,9,10,0,0,yes
b13,Bengali,10,five,point,1,2,0,0,yes
b13,Bengali,10,five,ho_gv,0,0,0,0,yes
b13,Bengali,10,tp1,reach,0,0,0,0,no
b13,Bengali,10,tp1,point,0,0,0,0,no
b13,Bengali,10,tp1,ho_gv,1,1,0,0,no
b13,Bengali,10,tp2,reach,0,0,0,0,no
b13,Bengali,10,tp2,point,0,0,0,0,no
b13,Bengali,10,tp2,ho_gv,0,0,0,0,no
b13,Bengali,11,five,reach,10,10,0,0,no
b13,Bengali,11,five,point,0,0,0,0,no
b13,Bengali,11,five,ho_gv,0,0,0,0,no
b13,Bengali,11,tp1,reach,0,0,0,0,no
b13,Bengali,11,tp1,point,0,0,0,0,no
b13,Bengali,11,tp1,ho_gv,5,5,0,0,no
b13,Bengali,11,tp2,reach,0,0,0,0,no
b13,Bengali,11,tp2,point,0,0,0,0,no
b13,Bengali,11,tp2,ho_gv,0,0,0,0,no
b13,Bengali,12,five,reach,3,3,0,0,no
b13,Bengali,12,five,point,1,1,0,0,no
b13,Bengali,12,five,ho_gv,0,0,0,0,no
b13,Bengali,12,tp1,reach,0,0,0,0,no
b13,Bengali,12,tp1,point,3,3,0,0,no
b13,Bengali,12,tp1,ho_gv,11,11,0,0,no
b13,Bengali,12,tp2,reach,0,0,0,0,no
b13,Bengali,12,tp2,point,0,0,0,0,no
b13,Bengali,12,tp2,ho_gv,10,10,0,0,no
b14,Bengali,10,five,reach,1,1,0,0,no
b14,Bengali,10,five,point,0,0,0,0,no
b14,Bengali,10,five,ho_gv,0,0,0,0,no
b14,Bengali,10,tp1,reach,0,0,0,0,no
b14,Bengali,10,tp1,point,0,0,0,0,no
b14,Bengali,10,tp1,ho_gv,0,0,0,0,no
b14,Bengali,10,tp2,reach,0,0,0,0,no
b14,Bengali,10,tp2,point,0,0,0,0,no
b14,Bengali,10,tp2,ho_gv,0,0,0,0,no
b14,Bengali,11,five,reach,7,7,0,0,no
b14,Bengali,11,five,point,19,19,3,3,no
b14,Bengali,11,five,ho_gv,0,0,0,0,no
b14,Bengali,11,tp1,reach,0,0,0,0,no
b14,Bengali,11,tp1,point,0,0,0,0,no
b14,Bengali,11,tp1,ho_gv,0,0,0,0,no
b14,Bengali,11,tp2,reach,0,0,0,0,no
b14,Bengali,11,tp2,point,0,0,0,0,no
b14,Bengali,11,tp2,ho_gv,3,3,0,0,no
b14,Bengali,12,five,reach,4,4,0,0,no
b14,Bengali,12,five,point,3,3,0,0,no
b14,Bengali,12,five,ho_gv,0,0,0,0,no
b14,Bengali,12,tp1,reach,0,0,0,0,no
b14,Bengali,12,tp1,point,0,0,0,0,no
b14,Bengali,12,tp1,ho_gv,12,12,0,0,no
b14,Bengali,12,tp2,reach,0,0,0,0,no
b14,Bengali,12,tp2,point,0,0,0,0,no
b14,Bengali,12,tp2,ho_gv,12,12,0,0,no
b15,Bengali,10,five,reach,0,0,0,0,no
b15,Bengali,10,five,point,0,0,0,0,no
b15,Bengali,10,five,ho_gv,0,0,0,0,no
b15,Bengali,10,tp1,reach,1,1,0,0,no
b15,Bengali,10,tp1,point,0,0,0,0,no
b15,Bengali,10,tp1,ho_gv,3,3,0,0,no
b15,Bengali,10,tp2,reach,0,0,0,0,no
b15,Bengali,10,tp2,point,0,0,0,0,no
b15,Bengali,10,tp2,ho_gv,2,2,0,0,no
b15,Bengali,11,five,reach,0,0,0,0,no
b15,Bengali,11,five,point,1,1,0,0,no
b15,Bengali,11,five,ho_gv,0,0,0,0,no
b15,Bengali,11,tp1,reach,0,0,0,0,no
b15,Bengali,11,tp1,point,0,0,0,0,no
b15,Bengali,11,tp1,ho_gv,11,11,0,0,no
b15,Bengali,11,tp2,reach,0,0,0,0,no
b15,Bengali,11,tp2,point,0,0,0,0,no
b15,Bengali,11,tp2,ho_gv,3,3,0,0,no
b15,Bengali,12,five,reach,3,3,0,0,no
b15,Bengali,12,five,point,1,1,0,0,no
b15,Bengali,12,five,ho_gv,0,0,0,0,no
b15,Bengali,12,tp1,reach,0,0,0,0,no
b15,Bengali,12,tp1,point,0,0,0,0,no
b15,Bengali,12,tp1,ho_gv,22,22,0,0,no
