term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value
(Intercept),103.51505064395,21.6815788831203,4.77433175886185,6.38269355765283E-06,(Intercept),101.468756202448,20.2704692046371,5.00574284581611,2.48717728649179E-06,(Intercept),85.9970389170898,26.8595012064221,3.2017362592172,0.00184756883163,(Intercept),248.656105226923,93.7779151303225,2.65154226217726,0.009520224292956,(Intercept),102.800909624413,26.4259244010851,3.89015377718223,0.000188044357696
count_tot,-0.362536054467401,0.432709446735412,-0.837827917099023,0.404187044895143,hgp_tot,-0.382021171022164,0.439314937985839,-0.869583840635254,0.386674586813421,reach_tot,0.833756345177662,2.78853410409927,0.298994494617084,0.765583891046813,utt_tot,-0.171056491599346,0.107566089882204,-1.59024551126354,0.115406943679867,ct_tot,-1.27978286384976,2.76483310601368,-0.462878884467261,0.644532476882062
months18,98.4993765278692,31.3091121750052,3.14602905305324,0.002197961486986,months18,105.080539256579,29.2615532288897,3.5910786565094,0.000518996884921,months18,124.172941648017,38.3385158859865,3.238856246217,0.0016438107513,months18,83.1302608907765,136.643784973746,0.608372059561644,0.544525820060404,months18,90.7473556576261,37.9412945292808,2.39178332693927,0.01877917177283
backgroundBengali,8.58251978423229,41.3560147448084,0.207527728123506,0.836032811211626,backgroundBengali,1.82626191349396,37.3028000908684,0.0489577701686,0.961053615680135,backgroundBengali,37.9372108559616,44.7391220193477,0.847965028002907,0.398545027137486,backgroundBengali,-160.15053975038,99.3399662182273,-1.61214610641769,0.110552135137172,backgroundBengali,-13.2810518887877,34.6244655508133,-0.383574206201017,0.70216953821449
backgroundChinese,-87.9213994092745,36.0817537251223,-2.43672744066368,0.016644086567485,backgroundChinese,-61.9244229630907,32.6427042798316,-1.89703715820355,0.060797792623049,backgroundChinese,-28.6094833615343,42.9985971037228,-0.665358530012537,0.507400215841212,backgroundChinese,-194.595018356642,102.692949122752,-1.89492092708367,0.06142413109077,backgroundChinese,-31.1490395584108,38.9386957709126,-0.799950767269386,0.425777953796182
count_tot:months18,0.845528616560034,0.61592020882264,1.37278920945994,0.172983427149359,hgp_tot:months18,0.822776087570809,0.624950161200743,1.31654672428594,0.191092891660894,reach_tot:months18,0.317163074765534,3.94490904148144,0.080398070381473,0.936086306767471,utt_tot:months18,0.029108161152463,0.155253476891268,0.18748798246141,0.851714617522856,ct_tot:months18,4.55710172153209,3.91921429458289,1.16275900703641,0.247902280599851
count_tot:backgroundBengali,0.051649755221131,0.904018715294329,0.057133502157989,0.95455637603234,hgp_tot:backgroundBengali,0.259394359427963,1.04188584641792,0.248966199435168,0.803913324720475,reach_tot:backgroundBengali,-2.9727785212897,3.91470950660892,-0.75938674792369,0.44946277918887,utt_tot:backgroundBengali,0.198343895875384,0.116027060625079,1.70946238581616,0.090930093635079,ct_tot:backgroundBengali,5.87195832324514,4.99036621987896,1.17665879907859,0.242334652318847
count_tot:backgroundChinese,2.51926396287106,0.729335755309591,3.45418957528234,0.000819984751162,hgp_tot:backgroundChinese,2.3613229283758,0.747343312137898,3.15962274636652,0.002107165238512,reach_tot:backgroundChinese,4.44091032148902,4.32077838015394,1.02780331013663,0.306598526659885,utt_tot:backgroundChinese,0.2318640868985,0.118738775133749,1.95272426077603,0.054067180098728,ct_tot:backgroundChinese,5.46491292726376,3.79306658889629,1.44076377231594,0.153009808595151
months18:backgroundBengali,-36.6839598389293,58.8278734156075,-0.623581266991655,0.534366245310891,months18:backgroundBengali,-38.3082113580285,53.0796801333,-0.721711420675942,0.472208059040029,months18:backgroundBengali,-46.2654069573154,63.4834960312413,-0.728778499132238,0.467893073405623,months18:backgroundBengali,3.48893195480593,144.290633847275,0.024179892081553,0.980764491559373,months18:backgroundBengali,9.32333195351795,49.4023288824811,0.188722519047562,0.850721525545819
months18:backgroundChinese,22.7291743930721,51.4185247086872,0.442042523037072,0.659442423222998,months18:backgroundChinese,16.001243470608,46.5354374559425,0.343850715613389,0.731702801059665,months18:backgroundChinese,2.35061390753853,61.0306062234434,0.03851532948784,0.969355967574354,months18:backgroundChinese,39.7140775981078,148.911426152017,0.266695972393451,0.790334366466764,months18:backgroundChinese,24.1362990595993,55.4556302491757,0.435236223105733,0.664399380187199
count_tot:months18:backgroundBengali,-0.14124679692033,1.28038371133532,-0.110315990175338,0.912386698032754,hgp_tot:months18:backgroundBengali,-0.012821377425884,1.47499820625037,-0.008692469842711,0.993082352424953,reach_tot:months18:backgroundBengali,0.719083845218896,5.53718010257759,0.129864629991746,0.896942450608083,utt_tot:months18:backgroundBengali,-0.01888507335687,0.166994827154394,-0.113087774505793,0.910221510418408,ct_tot:months18:backgroundBengali,-7.16928310860975,7.062517008522,-1.01511728749947,0.31268360614078
count_tot:months18:backgroundChinese,-0.800043023997026,1.03380078399758,-0.773885100863782,0.440880805626955,hgp_tot:months18:backgroundChinese,-0.760446419306548,1.05906162564051,-0.718037931783846,0.474459766409404,reach_tot:months18:backgroundChinese,-0.725163074765547,6.11135942871339,-0.118658227064582,0.905791517821458,utt_tot:months18:backgroundChinese,-0.030515734106238,0.170764481500868,-0.178700710112734,0.858588198297561,ct_tot:months18:backgroundChinese,-3.67868836576659,5.3708793297045,-0.684932231752261,0.495090247586247
,,,,,,,,,,,,,,,,,,,,,,,,
count_tot,-0.36,0.43,-0.84,0.4042,,-0.38,0.44,-0.87,0.3867,,0.83,2.79,0.3,0.7656,,-0.17,0.11,-1.59,0.1154,,-1.28,2.76,-0.46,0.6445
months18,98.5,31.31,3.15,0.0022,,105.08,29.26,3.59,0.0005,,124.17,38.34,3.24,0.0016,,83.13,136.64,0.61,0.5445,,90.75,37.94,2.39,0.0188
backgroundBengali,8.58,41.36,0.21,0.836,,1.83,37.3,0.05,0.9611,,37.94,44.74,0.85,0.3985,,-160.15,99.34,-1.61,0.1106,,-13.28,34.62,-0.38,0.7022
backgroundChinese,-87.92,36.08,-2.44,0.0166,,-61.92,32.64,-1.9,0.0608,,-28.61,43,-0.67,0.5074,,-194.6,102.69,-1.89,0.0614,,-31.15,38.94,-0.8,0.4258
count_tot:months18,0.85,0.62,1.37,0.173,,0.82,0.62,1.32,0.1911,,0.32,3.94,0.08,0.9361,,0.03,0.16,0.19,0.8517,,4.56,3.92,1.16,0.2479
count_tot:backgroundBengali,0.05,0.9,0.06,0.9546,,0.26,1.04,0.25,0.8039,,-2.97,3.91,-0.76,0.4495,,0.2,0.12,1.71,0.0909,,5.87,4.99,1.18,0.2423
count_tot:backgroundChinese,2.52,0.73,3.45,0.0008,,2.36,0.75,3.16,0.0021,,4.44,4.32,1.03,0.3066,,0.23,0.12,1.95,0.0541,,5.46,3.79,1.44,0.153
months18:backgroundBengali,-36.68,58.83,-0.62,0.5344,,-38.31,53.08,-0.72,0.4722,,-46.27,63.48,-0.73,0.4679,,3.49,144.29,0.02,0.9808,,9.32,49.4,0.19,0.8507
months18:backgroundChinese,22.73,51.42,0.44,0.6594,,16,46.54,0.34,0.7317,,2.35,61.03,0.04,0.9694,,39.71,148.91,0.27,0.7903,,24.14,55.46,0.44,0.6644
count_tot:months18:backgroundBengali,-0.14,1.28,-0.11,0.9124,,-0.01,1.47,-0.01,0.9931,,0.72,5.54,0.13,0.8969,,-0.02,0.17,-0.11,0.9102,,-7.17,7.06,-1.02,0.3127
count_tot:months18:backgroundChinese,-0.8,1.03,-0.77,0.4409,,-0.76,1.06,-0.72,0.4745,,-0.73,6.11,-0.12,0.9058,,-0.03,0.17,-0.18,0.8586,,-3.68,5.37,-0.68,0.4951
